organization number,orgnum of the chain,orgnum of rented property's owner
811616532,986554270,999244564
812288172,,
812448072,985850062,
812573772,,
812610082,986554270,996920917
812657402,986554270,996920917
814045382,998514983,
814328562,879439582,
814400352,,
814581462,,
815225732,938641862,915191800
815366832,878620852,925335894
815471202,912450716,
815516192,,
815672542,,
815982762,993312444,
816032172,991926577,
816281172,921967233,
817088252,,817088252
817880932,,
818072872,878620852,
818722192,991926577,
819294542,878620852,
819390002,,
819510822,938641862,986876251
821478782,,
822119212,,
823074662,,
824369062,,
826567112,,
827642312,886308922,971378220
828227572,985850062,964950113
871626812,986721924,
872153322,,
872172572,,
872207562,,
872215492,,
872236112,,953155818
872285482,,
872290702,,
872301992,878620852,
872332022,,999999999
872339892,,
873075392,,958087322
873076372,971272643,
873111992,938498318,930891126
873131632,,
873138882,886308922,
873157232,886308922,
873158352,,
873167092,,
873190132,958673027,
873263792,,
873280492,,914985307
873348712,,
873349352,,
873353252,,994018175
873445882,,815987632
873448792,,
873449772,,
873455942,,
873456302,,999070469
873456442,,980594963
873457082,,964962766
873457112,,
873458232,,
873458712,,986074988
873459492,,
873461322,,985322562
873461772,919147857,883546172
873464372,,
873464852,,
873468912,,997028759
873469862,,
873470542,878620852,
873470992,971272643,
873471972,,963999087
873480882,,981405803
873482052,971493488,964338531
873483482,,950535342
873485612,,
873489812,871497052,
873493712,,971278374
873495472,,
873502142,,
873502592,,
873504102,,
873512032,,
873512172,,
873512962,971230061,
873513012,,
873606002,,
873688262,,
873736712,,985987246
873746882,,
873769912,,991705120
873784822,,
873800062,,
873808802,,
873831472,,
873845082,,988671932
873864052,,
873885262,,
873893362,976993616,
873910542,,
873919892,,
873987642,,
874013382,,
874024872,,
874038202,,
874050512,878620852,
874050652,,
874058092,,
874062642,,
874064122,,
874116572,,
874127612,992598778,
874146102,886308922,997258118
874180882,,
874183342,,964962766
874187372,994871323,
874198722,994312014,
874225762,912450716,
874302732,,
874316342,912450716,930558664
874336742,,
874515132,878620852,925335894
874544272,,
874545422,,
874554162,,
874565342,,
874565512,,
874566632,,
874570192,,
874578592,,
874578622,,
874579602,,
874582352,,
874584142,,
874584932,,
874585742,,
874586552,,
874591572,,
874592072,,
874592102,,
874593672,,
874593702,,
874600822,,
874610992,,
874611042,,
874611182,,
874612162,,
874612332,,
874614262,,
874614742,,
874619892,,
874621552,,
874621862,,
874627062,,
874628042,,
874628182,,
874703362,,976987144
874706892,,
874716812,,
874737402,,
874738832,,
874738972,,
874739162,,
874798452,,976992563
874800082,,
874860212,,
874890952,,971491183
874900702,,
874998362,975717771,975717771
875009532,,948677202
875016652,971272643,
875016792,,
875028642,971529652,971529652
875065092,,
875123262,,
875183842,975717771,975717771
875185152,,
875211382,971230061,
875268082,,
875268252,,
875268392,,
875290932,,
875291262,,
875291432,,
875291572,,
875291602,,
875291882,,
875295292,,
875295322,,
875295772,,
875296132,,
875297252,,
875297392,,
875298062,,
875298232,,
875298852,,
875298992,,
875299042,,
875300512,,
875300792,,
875301012,,
875301292,,
875301462,,
875301632,,
875301772,,
875302132,,
875302582,,
875302892,,
875303082,,
875303422,,
875303732,,
875306022,,
875306162,,
875306332,,
875306472,,
875306502,,
875306642,,
875307002,,
875307282,,
875307452,,
875307592,,
875307932,,
875308262,,
875308432,,
875308572,,
875308882,,
875308912,,
875309072,,
875309242,,
875309412,,
875309692,,
875309722,,
875309862,,
875310062,,
875310232,,
875310372,,
875310402,,
875310542,,
875310712,,
875310852,,
875310992,,
875311042,,
875311182,,
875311972,,
875312022,,
875312162,,
875312472,,
875312502,,
875312642,,
875312782,,
875312952,,
875313142,,
875313282,,
875313622,,
875314092,,
875314602,997147812,
875315382,,
875315412,,
875315552,,
875315722,,
875315862,,
875316192,938641862,914850894
875316222,,
875316532,,
875316672,,
875316702,,
875316982,971272643,993467049
875317032,971272643,993467049
875317512,,
875317962,,
875318012,,
875320092,,
875320262,,
875320602,,
875321072,,
875321692,,
875321862,,
875322982,,
875323172,878620852,938583986
875323512,,
875323962,,
875324012,,
875324152,,
875324462,,
875324632,,
875365002,,
875375822,971272643,920125298
876009072,,
876053632,,
876058782,,
876503212,976498860,820710592
876671832,,
876673452,,
876674262,,
