organization number,name,organization form code,organization form description,industry code 1,industry code 1 description,industry code 2,industry code 2 description,industry code 3,industry code 3 description,auxiliary unit code,auxiliary unit code description,has registered number of employees,number of employees,website,postal address,postal town,postal code,postal municipality,postal municipality number,postal country,postal country code,business address,business post town,business postal code,business municipality,business municipality number,business country,business country code,institutional sector code,institutional sector code description,last submitted annual accounts,registration date in unit register,foundation date,registered in VAT register,voluntary VAT registered descriptions,registered in volunteer register,registration date of the Unit Register,registered in foundation register,bankrupt,bankruptcy date,under liquidation,under liquidation date,under compulsory liquidation or dissolution,compulsory dissolution due to lack of general manager date,compulsory dissolution due to lack of auditor date,compulsory dissolution due to lack of accounts date,compulsory dissolution due to insufficient board date,compulsory liquidation due to lack of deletion date,parent unit,language form,articles of association date,statutory purpose,activity,location address,location post town,location postal code,location municipality,location municipality number,location country,location country code,registreringsdatoIEnhetsregisteret,start date,ownership change date,closure date,organization form description (EN)
811616532,NORLANDIA CAPELLA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,27,capella.norlandiabarnehagene.no/,Ekholtveien 114,MOSS,1526,MOSS,3103,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930202614,,,,,Sandslimarka 183,SANDSLI,5254,BERGEN,4601,Norge,NO,2013-02-25,2012-11-09,2023-01-01,,Subunit of businesses and public administration
812288172,NAB SKOGEN BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,25,www.skogenbarnehage.no,Postboks 4,STRUSSHAMN,5318,ASKØY,4627,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,997200268,,,,,Follesevegen 97,STRUSSHAMN,5302,ASKØY,4627,Norge,NO,2013-08-10,2011-06-01,,,Subunit of businesses and public administration
812448072,HOPPENSPRETT HURDAL BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,www.hoppensprett.no,Industrivegen 34,JESSHEIM,2069,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,912393283,,,,,Rognstadvegen 6,HURDAL,2090,HURDAL,3242,Norge,NO,2013-09-16,2013-09-01,,,Subunit of businesses and public administration
812573772,PICASSO FAMILIEBARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930243175,,,,,Oldtidsveien 709,SKJEBERG,1747,SARPSBORG,3105,Norge,NO,2013-10-12,2013-09-26,2023-01-01,,Subunit of businesses and public administration
812610082,KIDSA LØVÅSBAKKEN,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,29,www.kidsabarnehager.no/,Ekholtveien 114,MOSS,1526,MOSS,3103,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930203807,,,,,Løvåsbakken 20,FYLLINGSDALEN,5145,BERGEN,4601,Norge,NO,2013-10-30,2013-10-09,2023-01-01,,Subunit of businesses and public administration
812657402,KIDSA LADEGÅRDEN FRILUFTSBARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,36,ladegarden.norlandiabarnehagene.no,Ekholtveien 114,MOSS,1526,MOSS,3103,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930205583,,,,,Hans Hauges gate 3,BERGEN,5033,BERGEN,4601,Norge,NO,2013-10-30,2013-10-09,2023-01-01,,Subunit of businesses and public administration
814045382,NØTTELITEN ØSTERÅSBAKKEN,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,false,,www.familiebarnehage.no,Lienga 6,TROLLÅSEN,1414,NORDRE FOLLO,3207,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930767190,,,,,Østeråsbakken 13,ØSTERÅS,1361,BÆRUM,3201,Norge,NO,2014-08-21,2014-08-01,2023-01-01,,Subunit of businesses and public administration
814328562,ASKELADDEN BARNEHAGE BORG TURNUSBARNEHAGE FÆRDERSGT AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,19,,Postboks 118,SARPSBORG,1711,SARPSBORG,3105,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,931375849,,,,,Færders gate 33,SARPSBORG,1707,SARPSBORG,3105,Norge,NO,2014-10-20,1996-09-25,2023-04-27,,Subunit of businesses and public administration
814400352,TÅSENLØKKA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,24,www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/tasenlokka-barnehage/,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974778882,,,,,Claus Borchs vei 19,OSLO,0853,OSLO,0301,Norge,NO,2014-11-03,2014-10-09,2020-12-01,,Subunit of businesses and public administration
814581462,STIFTELSEN STEINERBARNEHAGEN PÅ NØTTERØY AVD STJERNESKUDD,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,false,,,Labakken 4,VESTSKOGEN,3142,FÆRDER,3911,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,988850454,,,,,Vestfjordveien 40,VESTSKOGEN,3142,FÆRDER,3911,Norge,NO,2014-12-08,2007-08-01,,,Subunit of businesses and public administration
