organisasjonsnummer,status,navn,hjemmeside,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,frivilligMvaRegistrertBeskrivelser,antallAnsatte,harRegistrertAntallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,sisteInnsendteAarsregnskap,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,postadresse_land,postadresse_landkode,postadresse_postnummer,postadresse_poststed,postadresse_adresse,postadresse_kommune,postadresse_kommunenummer,naeringskode1_kode,naeringskode1_beskrivelse,hjelpeenhetskode_kode,hjelpeenhetskode_beskrivelse,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,institusjonellSektorkode_kode,institusjonellSektorkode_beskrivelse,_links_self_href,naeringskode2_kode,naeringskode2_beskrivelse,naeringskode3_kode,naeringskode3_beskrivelse,slettedato,konkursdato,overordnetEnhet,_links_overordnetEnhet_href,underAvviklingDato
986554270,,NORLANDIA PRESCHOOLS AS,www.norlandia.no,2004-02-14,True,['Utleier av bygg eller anlegg'],10.0,True,2004-02-01,True,False,False,2022,False,False,False,Bokmål,2019-11-01,"['Drive barnehage, samt annen virksomhet som naturlig faller inn under', 'dette, herunder delta i andre selskaper.']","['Drive barnehage, samt annen virksomhet som naturlig faller inn under', 'dette, herunder delta i andre selskaper.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,1526,MOSS,['Ekholtveien 114'],MOSS,3103,88.911,Barnehager,82.110,Kombinerte kontortjenester,Norge,NO,0162,OSLO,['Karl Johans gate 37'],OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/986554270,,,,,,,,,
985850062,,HOPPENSPRETT AS,www.hoppensprett.no,2003-07-07,True,,36.0,True,2003-06-25,True,False,False,2022,False,False,False,Bokmål,2023-07-06,['Barnehage drift.'],['Barnehage drift.'],AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,,,,,,,,88.911,Barnehager,,,Norge,NO,2069,JESSHEIM,['Industrivegen 34'],ULLENSAKER,3209,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/985850062,,,,,,,,,
998514983,,NØTTELITEN OG HAKKEBAKKESKOGEN AS,www.familiebarnehage.no,2012-06-19,True,,80.0,True,2012-06-01,True,False,False,2022,False,False,False,Bokmål,2023-03-31,['Drift av familiebarnehager.'],['Drift av familiebarnehager.'],AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,1414,TROLLÅSEN,['Lienga 6'],NORDRE FOLLO,3207,88.911,Barnehager,,,Norge,NO,0194,OSLO,"['c/o Raymond Frivåg', 'Sørengkaia 97']",OSLO,0301,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/998514983,,,,,,,,,
879439582,,CAMAH HOLDING AS,,1997-12-22,False,,,False,1997-12-02,True,False,False,2022,False,False,False,Bokmål,2003-08-18,"['Erverve og eie fast eiendom herunder utvikle og drive denne ved', 'utleie, salg eller lignende. Omsetning ved salg, import og agentur av', 'utstyr til barnehager. Deltagelse i andre selskaper og det som står i', 'forbindelse med dette.']","['Omsetning og drift av fast eiendom. Omsetning av utstyr til', 'barnehager.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,,,,,,,,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,1723,SARPSBORG,['Storgata 29'],SARPSBORG,3105,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/879439582,,,,,,,,,
938641862,,TRYGGE BARNEHAGER AS,,1995-02-19,True,['Utleier av bygg eller anlegg'],,True,1986-04-17,True,False,False,2022,False,False,False,Bokmål,2009-09-30,"['Identifikasjon, salg og markedsføring av barnehageprosjekter og', 'konsulenttjenester i tilknytning til barnehager, samt', 'konsulenttjenester innen byggeadministrasjon, byggeledelse og', 'relaterte tjenester. Selskapet forestår også oppføring av barnehager', 'og andre bygg, herunder å samordne entreprenørers og andre', 'leverandørers virksomhet. Selskapet kan delta i andre selskaper', 'tilknyttet lignende virksomhet eller eiendoms- og/eller', 'barnehagesektoren for øvrig.']","['Identifikasjon, salg og markedsføring av barnehageprosjekter og', 'konsulenttjenester i tilknytning til barnehager, konsulenttjenester', 'innen byggeadministrasjon, byggeledelse oppføring av barnehager mv.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,5501,HAUGESUND,['Postboks 420'],HAUGESUND,1106,88.911,Barnehager,70.100,Hovedkontortjenester,Norge,NO,5528,HAUGESUND,['Haraldsgata 90'],HAUGESUND,1106,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/938641862,,,,,,,,,
878620852,,LÆRINGSVERKSTEDET AS,www.laringsverkstedet.no,1997-06-11,True,['Utleier av bygg eller anlegg'],,False,1997-05-23,True,False,False,2022,False,False,False,Bokmål,2023-04-24,['Barnehagedrift.'],['Barnehagedrift.'],AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,2051,JESSHEIM,['Postboks 215'],ULLENSAKER,3209,88.911,Barnehager,,,Norge,NO,2069,JESSHEIM,['Aktivitetsvegen 2'],ULLENSAKER,3209,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/878620852,,,,,,,,,
912450716,,AKASIA AS,,2013-09-26,True,,,True,2013-09-12,True,False,False,2022,False,False,False,Bokmål,2023-06-14,"['Selskapet drives i tråd med Den norske kirkes verdigrunnlag og har som', 'formål å levere tjenester innen bygg- og eiendomsforvaltning, via', 'eierskap til aksjer og/eller andeler i selskaper med slike formål,', 'samt alt som står i forbindelse med dette.']","['Holdingselskap med eierskap i aksjer eller andeler i selskaper som', 'driver barnehage-, eiendoms- og regnskapsvirksomhet.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,5848,BERGEN,['Postboks 4    Ytre Laksevåg'],BERGEN,4601,68.320,Eiendomsforvaltning,70.100,Hovedkontortjenester,Norge,NO,5163,LAKSEVÅG,['Johan Berentsens vei 109'],BERGEN,4601,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/912450716,,,,,,,,,
993312444,,PIONER FUTURE AS,,2008-11-12,True,,,True,2008-10-01,True,False,False,2022,False,False,False,Bokmål,2023-05-12,"['Investering i eiendom og drift av eiendom, samt i annen virksomhet som', 'faller naturlig sammen med dette, herunder å delta i andre selskaper.']",['Investering og drift av eiendom.'],AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,0171,OSLO,['Geitmyrsveien 21B'],OSLO,0301,68.209,Utleie av egen eller leid fast eiendom ellers,,,Norge,NO,5217,HAGAVIK,['Skeisbotnen 58'],BJØRNAFJORDEN,4624,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/993312444,,,,,,,,,
991926577,,ESPIRA GRUPPEN AS,www.espira.no,2007-11-24,True,['Utleier av bygg eller anlegg'],58.0,True,2007-10-26,True,False,False,2023,False,False,False,Bokmål,2014-05-12,"['Eie aksjer og andeler i andre selskaper og å utvikle', 'opplæringaktiviteter, og annen virksomhet som står i naturlig', 'forbindelse med dette.']","['Eie aksjer og andeler i andre selskaper og å utvikle', 'opplæringaktiviteter, og annen virksomhet som står i naturlig', 'forbindelse med dette.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,4291,KOPERVIK,['Postboks 353'],KARMØY,1149,88.911,Barnehager,70.100,Hovedkontortjenester,Norge,NO,4262,AVALDSNES,['Helganesvegen 47'],KARMØY,1149,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/991926577,,,,,,,,,
921967233,,ALBERTSEN HOLDING AS,,2018-12-20,False,,,False,2018-12-11,True,False,False,2022,False,False,False,Bokmål,2018-12-11,"['Investering i virksomheter og selskaper som driver med barnehagedrift', 'og delta i andre virksomheter med samme eller lignende formål, samt', 'drive med kjøp, salg og utleie av fast eiendom.']","['Investering i virksomheter og selskaper som driver med barnehagedrift', 'og delta i andre virksomheter med samme eller lignende formål, samt', 'drive med kjøp, salg og utleie av fast eiendom.']",AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Norge,NO,5505,HAUGESUND,['postboks 1723'],HAUGESUND,1106,68.100,Kjøp og salg av egen fast eiendom,,,Norge,NO,5535,HAUGESUND,['Galeasvegen 3'],HAUGESUND,1106,2100,Private aksjeselskaper mv.,https://data.brreg.no/enhetsregisteret/api/enheter/921967233,,,,,,,,,
